,Experiment.Time,dice_number,report,RT,Honestly_Question1,Honestly_Question2,Honestly_Question3,Honestly_Question4,Honestly_Question5,Age,Gender,Gender_Clean,Education,Comprehension,Feedbacks,Researcher,Even,ReportEvenBinary,Dice_Combo,Truth,LiedForGain,Treatment
1,11/17/2018 15:52,2,1,21.785,3,4,3,1,0,42,male,M,Graduate Degree (Masters or above),1,NA,Brian,1,1,1 1,1,0,Depletion
2,12/1/2018 14:05,1,0,4.083,8,9,7,1,0,18,Female,F,Less than a College Degree,3,NA,Brian,0,1,0 1,0,1,Depletion
3,12/1/2018 14:54,2,1,3.61,5,7,4,4,1,20,Male,M,Less than a College Degree,3,NA,Brian,1,1,1 1,1,0,Depletion
4,11/16/2018 14:26,2,1,7.082,9,9,8,3,1,19,Male,M,Less than a College Degree,1,NA,Carter,1,1,1 1,1,0,Depletion
5,11/16/2018 14:44,3,-1,16.867,6,8,7,5,2,20,Female,F,College Degree (Associates or Bachelor's,3,NA,Eve,0,0,0 0,1,0,Depletion
6,12/1/2018 13:00,3,-1,10.006,5,10,10,0,0,20,male,M,Less than a College Degree,3,NA,Eve,0,0,0 0,1,0,Depletion
7,12/1/2018 13:16,5,-1,4.296,2,2,2,2,2,32,Male,M,College Degree (Associates or Bachelor's,3,NA,Eve,0,0,0 0,1,0,Depletion
8,12/1/2018 13:34,1,1,12.487,3,9,7,1,0,18,Male,M,College Degree (Associates or Bachelor's,1,NA,Eve,0,1,0 1,0,1,Depletion
9,12/1/2018 13:50,3,-1,4.661,8,9,10,3,1,20,Female,F,Less than a College Degree,1,NA,Eve,0,0,0 0,1,0,Depletion
10,12/1/2018 14:05,2,1,7.436,5,10,4,0,0,18,female,F,Less than a College Degree,1,NA,Eve,1,1,1 1,1,0,Depletion
11,12/1/2018 14:19,4,1,13.903,3,5,10,3,0,18,Male,M,Less than a College Degree,3,NA,Eve,1,1,1 1,1,0,Depletion
12,11/18/2018 10:34,5,-1,5.91,0,10,0,0,0,20,female,F,Less than a College Degree,3,NA,Lukas,0,0,0 0,1,0,Depletion
13,11/20/2018 17:42,4,1,2.775,4,7,4,2,1,22,male,M,College Degree (Associates or Bachelor's,3,NA,Lukas,1,1,1 1,1,0,Depletion
14,11/18/2018 10:45,2,1,5.652,1,6,4,1,0,18,female,F,Less than a College Degree,3,NA,Lukas,1,1,1 1,1,0,Depletion
15,11/16/2018 14:44,1,-1,6.837,7,8,3,1,0,19,Male,M,Less than a College Degree,3,NA,Lukas,0,0,0 0,1,0,Depletion
16,11/14/2018 14:47,5,-1,9.076,8,10,4,5,0,18,Femine,F,Less than a College Degree,1,NA,Lukas,0,0,0 0,1,0,Depletion
17,11/24/2018 19:37,1,-1,4.407,8,7,6,4,2,19,male,M,Less than a College Degree,3,NA,Lukas,0,0,0 0,1,0,Depletion
18,11/14/2018 14:55,2,1,6.415,7,10,7,2,0,29,woman,F,Graduate Degree (Masters or above),3,NA,Marie,1,1,1 1,1,0,Depletion
19,11/14/2018 15:07,3,1,18.049,8,8,6,3,1,18,male,M,Less than a College Degree,3,it's cold!,Marie,0,1,0 1,0,1,Depletion
