,Experiment.Time,dice_number,report,RT,Honestly_Question1,Honestly_Question2,Honestly_Question3,Honestly_Question4,Honestly_Question5,Age,Gender,Gender_Clean,Education,Comprehension1,Comprehension2,Cutting_Time,Feedbacks,Researcher,Even,ReportEvenBinary,Dice_Combo,Truth,LiedForGain,Treatment
1,12/1/2018 13:01,2,1,10.012,5,10,2,1,0,20,Male,M,College Degree (Associates or Bachelor's,3,1,10,NA,Brian,1,1,1 1,1,0,Interaction
2,12/1/2018 14:20,4,1,10.033,9,7,5,3,1,18,m,M,Less than a College Degree,1,1,10,im confused,Brian,1,1,1 1,1,0,Interaction
3,11/17/2018 16:22,5,1,9.023,10,10,0,0,0,17,Female,F,Less than a College Degree,3,1,9,NA,Brian,0,1,0 1,0,1,Interaction
4,11/17/2018 15:18,6,-1,10.023,5,10,5,0,0,49,female,F,Graduate Degree (Masters or above),3,1,10,NA,Carter,1,0,1 0,0,0,Interaction
5,11/17/2018 16:08,1,-1,5.063,9,10,5,2,0,18,Female,F,Less than a College Degree,1,1,10,NA,Carter,0,0,0 0,1,0,Interaction
6,11/16/2018 15:10,5,-1,8.032,0,6,8,6,0,17,Female,F,Less than a College Degree,3,1,9,NA,Carter,0,0,0 0,1,0,Interaction
7,11/16/2018 14:06,2,-1,7.904,8,10,5,2,0,21,Male,M,College Degree (Associates or Bachelor's,3,1,10,"Not sure what was being tested, but because this text was about a technical subject I picked up on particular words that had e's preceded by vowels etc (eg: measure)",Eve,1,0,1 0,0,0,Interaction
8,11/16/2018 15:25,4,1,6.319,9,10,6,0,0,20,male,M,Less than a College Degree,3,1,10,NA,Eve,1,1,1 1,1,0,Interaction
9,11/18/2018 10:57,1,1,4.674,0,0,6,0,0,19,female,F,Less than a College Degree,3,1,9,NA,Lukas,0,1,0 1,0,1,Interaction
10,11/20/2018 12:59,5,1,10.022,0,8,0,0,0,21,female,F,Less than a College Degree,3,1,10,NA,Lukas,0,1,0 1,0,1,Interaction
11,11/20/2018 17:53,6,1,3.817,3,9,4,0,0,23,male,M,College Degree (Associates or Bachelor's,3,1,10,NA,Lukas,1,1,1 1,1,0,Interaction
