,Experiment.Time,dice_number,report,RT,Honestly_Question1,Honestly_Question2,Honestly_Question3,Honestly_Question4,Honestly_Question5,Age,Gender,Gender_Clean,Education,Comprehension1,Comprehension2,Cutting_Time,Feedbacks,Researcher,Even,ReportEvenBinary,Dice_Combo,Truth,LiedForGain,Treatment
1,11/17/2018 14:56,1,-1,8.485,10,10,0,0,0,19,male,M,Less than a College Degree,3,1,10,I missed a trick and I am unlucky.,Brian,0,0,0 0,1,0,MWR
2,12/1/2018 13:29,1,1,9.034,9,10,5,1,0,21,male,M,Less than a College Degree,3,1,9,NA,Brian,0,1,0 1,0,1,MWR
3,11/17/2018 16:08,3,-1,6.35,8,9,8,3,1,15,Female,F,Less than a College Degree,3,1,9,NA,Brian,0,0,0 0,1,0,MWR
4,11/17/2018 15:00,6,1,3.294,7,10,8,3,0,18,Female,F,Less than a College Degree,3,1,10,NA,Carter,1,1,1 1,1,0,MWR
5,11/17/2018 15:44,2,1,9.022,5,8,10,0,0,19,male,M,Less than a College Degree,3,1,9,NA,Carter,1,1,1 1,1,0,MWR
6,11/16/2018 14:27,6,1,4.789,9,10,5,1,0,28,female,F,College Degree (Associates or Bachelor's,1,2,9,NA,Eve,1,1,1 1,1,0,MWR
7,11/19/2018 15:24,5,1,10.019,8,9,7,3,0,31,male,M,Graduate Degree (Masters or above),3,1,10,I really want those gift cards,Eve,0,1,0 1,0,1,MWR
8,11/20/2018 13:06,3,-1,8.488,7,10,5,3,0,25,female,F,Graduate Degree (Masters or above),1,1,9,NA,Eve,0,0,0 0,1,0,MWR
9,11/20/2018 13:44,4,1,4.574,10,0,0,0,0,22,male,M,College Degree (Associates or Bachelor's,3,1,9,its cold outside,Eve,1,1,1 1,1,0,MWR
10,11/20/2018 13:54,4,1,3.897,0,6,10,0,0,30,Male,M,Graduate Degree (Masters or above),3,1,10,NA,Eve,1,1,1 1,1,0,MWR
